KØN;ALDER;OMRÅDE;CIVILSTAND;TID;INDHOLD
I alt;I alt;Hele landet;I alt;2008K1;5475791
I alt;I alt;Hele landet;I alt;2008K2;5482266
I alt;I alt;Hele landet;I alt;2008K3;5489022
I alt;I alt;Hele landet;I alt;2008K4;5505995
I alt;I alt;Hele landet;I alt;2009K1;5511451
I alt;I alt;Hele landet;I alt;2009K2;5515287
I alt;I alt;Hele landet;I alt;2009K3;5519441
I alt;I alt;Hele landet;I alt;2009K4;5532531
I alt;I alt;Hele landet;I alt;2010K1;5534738
I alt;I alt;Hele landet;I alt;2010K2;5540241
I alt;I alt;Hele landet;I alt;2010K3;5543819
I alt;I alt;Hele landet;I alt;2010K4;5557709
I alt;I alt;Hele landet;I alt;2011K1;5560628
I alt;I alt;Hele landet;I alt;2011K2;5564219
I alt;I alt;Hele landet;I alt;2011K3;5566856
I alt;I alt;Hele landet;I alt;2011K4;5579204
I alt;I alt;Hele landet;I alt;2012K1;5580516
I alt;I alt;Hele landet;I alt;2012K2;5584758
I alt;I alt;Hele landet;I alt;2012K3;5587085
I alt;I alt;Hele landet;I alt;2012K4;5599665
I alt;I alt;Hele landet;I alt;2013K1;5602628
I alt;I alt;Hele landet;I alt;2013K2;5605836
I alt;I alt;Hele landet;I alt;2013K3;5608784
I alt;I alt;Hele landet;I alt;2013K4;5623501
I alt;I alt;Hele landet;I alt;2014K1;5627235
I alt;I alt;Hele landet;I alt;2014K2;5634437
I alt;I alt;Hele landet;I alt;2014K3;5639719
I alt;I alt;Hele landet;I alt;2014K4;5655750
I alt;I alt;Hele landet;I alt;2015K1;5659715
I alt;I alt;Hele landet;I alt;2015K2;5668743
I alt;I alt;Hele landet;I alt;2015K3;5678348
I alt;I alt;Hele landet;I alt;2015K4;5699220
I alt;I alt;Hele landet;I alt;2016K1;5707251
I alt;I alt;Hele landet;I alt;2016K2;5717014
I alt;I alt;Hele landet;I alt;2016K3;5724456
I alt;I alt;Hele landet;I alt;2016K4;5745526
I alt;I alt;Hele landet;I alt;2017K1;5748769
I alt;I alt;Hele landet;I alt;2017K2;5756170
I alt;I alt;Hele landet;I alt;2017K3;5760694
I alt;I alt;Hele landet;I alt;2017K4;5778570
I alt;I alt;Hele landet;I alt;2018K1;5781190
I alt;I alt;Hele landet;I alt;2018K2;5785864
I alt;I alt;Hele landet;I alt;2018K3;5789957
I alt;I alt;Hele landet;I alt;2018K4;5806015
I alt;I alt;Hele landet;I alt;2019K1;5806081
I alt;I alt;Hele landet;I alt;2019K2;5811413
I alt;I alt;Hele landet;I alt;2019K3;5814461
I alt;I alt;Hele landet;I alt;2019K4;5827463
I alt;I alt;Hele landet;I alt;2020K1;5822763
I alt;I alt;Hele landet;I alt;2020K2;5824857
I alt;I alt;Hele landet;I alt;2020K3;5825337
I alt;I alt;Hele landet;I alt;2020K4;5837213
I alt;I alt;Hele landet;I alt;2021K1;5840045
I alt;I alt;Hele landet;I alt;2021K2;5843347
I alt;I alt;Hele landet;I alt;2021K3;5850189
I alt;I alt;Hele landet;I alt;2021K4;5867412
I alt;I alt;Hele landet;I alt;2022K1;5873420
