OMRÅDE;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;I alt;Fraskilt;2020K4;552419
Region Hovedstaden;I alt;Fraskilt;2020K4;177231
København;I alt;Fraskilt;2020K4;55063
Frederiksberg;I alt;Fraskilt;2020K4;10164
Dragør;I alt;Fraskilt;2020K4;1232
Tårnby;I alt;Fraskilt;2020K4;4152
Albertslund;I alt;Fraskilt;2020K4;2747
Ballerup;I alt;Fraskilt;2020K4;5103
Brøndby;I alt;Fraskilt;2020K4;3725
Gentofte;I alt;Fraskilt;2020K4;7378
Gladsaxe;I alt;Fraskilt;2020K4;6871
Glostrup;I alt;Fraskilt;2020K4;2442
Herlev;I alt;Fraskilt;2020K4;3085
Hvidovre;I alt;Fraskilt;2020K4;5234
Høje-Taastrup;I alt;Fraskilt;2020K4;4810
Ishøj;I alt;Fraskilt;2020K4;2313
Lyngby-Taarbæk;I alt;Fraskilt;2020K4;5351
Rødovre;I alt;Fraskilt;2020K4;4281
Vallensbæk;I alt;Fraskilt;2020K4;1279
Allerød;I alt;Fraskilt;2020K4;2012
Egedal;I alt;Fraskilt;2020K4;3443
Fredensborg;I alt;Fraskilt;2020K4;4194
Frederikssund;I alt;Fraskilt;2020K4;5054
Furesø;I alt;Fraskilt;2020K4;3518
Gribskov;I alt;Fraskilt;2020K4;4750
Halsnæs;I alt;Fraskilt;2020K4;3787
Helsingør;I alt;Fraskilt;2020K4;7689
Hillerød;I alt;Fraskilt;2020K4;4855
Hørsholm;I alt;Fraskilt;2020K4;2794
Rudersdal;I alt;Fraskilt;2020K4;5158
Bornholm;I alt;Fraskilt;2020K4;4743
Christiansø;I alt;Fraskilt;2020K4;4
Region Sjælland;I alt;Fraskilt;2020K4;91617
Greve;I alt;Fraskilt;2020K4;4876
Køge;I alt;Fraskilt;2020K4;6355
Lejre;I alt;Fraskilt;2020K4;2539
Roskilde;I alt;Fraskilt;2020K4;8433
Solrød;I alt;Fraskilt;2020K4;2098
Faxe;I alt;Fraskilt;2020K4;4047
Guldborgsund;I alt;Fraskilt;2020K4;7465
Holbæk;I alt;Fraskilt;2020K4;7735
Kalundborg;I alt;Fraskilt;2020K4;5762
Lolland;I alt;Fraskilt;2020K4;5118
Næstved;I alt;Fraskilt;2020K4;9508
Odsherred;I alt;Fraskilt;2020K4;4095
Ringsted;I alt;Fraskilt;2020K4;3528
Slagelse;I alt;Fraskilt;2020K4;8745
Sorø;I alt;Fraskilt;2020K4;3276
Stevns;I alt;Fraskilt;2020K4;2401
Vordingborg;I alt;Fraskilt;2020K4;5636
Region Syddanmark;I alt;Fraskilt;2020K4;116935
Assens;I alt;Fraskilt;2020K4;4086
Faaborg-Midtfyn;I alt;Fraskilt;2020K4;5074
Kerteminde;I alt;Fraskilt;2020K4;2354
Langeland;I alt;Fraskilt;2020K4;1537
Middelfart;I alt;Fraskilt;2020K4;3949
Nordfyns;I alt;Fraskilt;2020K4;2751
Nyborg;I alt;Fraskilt;2020K4;3382
Odense;I alt;Fraskilt;2020K4;18139
Svendborg;I alt;Fraskilt;2020K4;6273
Ærø;I alt;Fraskilt;2020K4;689
Billund;I alt;Fraskilt;2020K4;2253
Esbjerg;I alt;Fraskilt;2020K4;11074
Fanø;I alt;Fraskilt;2020K4;404
Fredericia;I alt;Fraskilt;2020K4;5539
Haderslev;I alt;Fraskilt;2020K4;5570
Kolding;I alt;Fraskilt;2020K4;8696
Sønderborg;I alt;Fraskilt;2020K4;7124
Tønder;I alt;Fraskilt;2020K4;3606
Varde;I alt;Fraskilt;2020K4;4054
Vejen;I alt;Fraskilt;2020K4;3663
Vejle;I alt;Fraskilt;2020K4;10753
Aabenraa;I alt;Fraskilt;2020K4;5965
Region Midtjylland;I alt;Fraskilt;2020K4;114341
Favrskov;I alt;Fraskilt;2020K4;3737
Hedensted;I alt;Fraskilt;2020K4;3987
Horsens;I alt;Fraskilt;2020K4;8610
Norddjurs;I alt;Fraskilt;2020K4;3865
Odder;I alt;Fraskilt;2020K4;2213
Randers;I alt;Fraskilt;2020K4;9678
Samsø;I alt;Fraskilt;2020K4;458
Silkeborg;I alt;Fraskilt;2020K4;8814
Skanderborg;I alt;Fraskilt;2020K4;4871
Syddjurs;I alt;Fraskilt;2020K4;4324
Aarhus;I alt;Fraskilt;2020K4;27122
Herning;I alt;Fraskilt;2020K4;7239
Holstebro;I alt;Fraskilt;2020K4;4814
Ikast-Brande;I alt;Fraskilt;2020K4;3651
Lemvig;I alt;Fraskilt;2020K4;1628
Ringkøbing-Skjern;I alt;Fraskilt;2020K4;4497
Skive;I alt;Fraskilt;2020K4;4242
Struer;I alt;Fraskilt;2020K4;1992
Viborg;I alt;Fraskilt;2020K4;8599
Region Nordjylland;I alt;Fraskilt;2020K4;52295
Brønderslev;I alt;Fraskilt;2020K4;3136
Frederikshavn;I alt;Fraskilt;2020K4;5958
Hjørring;I alt;Fraskilt;2020K4;6286
Jammerbugt;I alt;Fraskilt;2020K4;3289
Læsø;I alt;Fraskilt;2020K4;214
Mariagerfjord;I alt;Fraskilt;2020K4;3963
Morsø;I alt;Fraskilt;2020K4;1883
Rebild;I alt;Fraskilt;2020K4;2404
Thisted;I alt;Fraskilt;2020K4;3798
Vesthimmerlands;I alt;Fraskilt;2020K4;3393
Aalborg;I alt;Fraskilt;2020K4;17971
