OMRÅDE;KØN;CIVILSTAND;TID;INDHOLD
København;I alt;Fraskilt;2008K1;50089
København;I alt;Fraskilt;2008K2;50160
København;I alt;Fraskilt;2008K3;50024
København;I alt;Fraskilt;2008K4;49836
København;I alt;Fraskilt;2009K1;49853
København;I alt;Fraskilt;2009K2;49774
København;I alt;Fraskilt;2009K3;49848
København;I alt;Fraskilt;2009K4;49633
København;I alt;Fraskilt;2010K1;49689
København;I alt;Fraskilt;2010K2;49837
København;I alt;Fraskilt;2010K3;49725
København;I alt;Fraskilt;2010K4;49662
København;I alt;Fraskilt;2011K1;49818
København;I alt;Fraskilt;2011K2;50088
København;I alt;Fraskilt;2011K3;50064
København;I alt;Fraskilt;2011K4;50062
København;I alt;Fraskilt;2012K1;50044
København;I alt;Fraskilt;2012K2;50313
København;I alt;Fraskilt;2012K3;50322
København;I alt;Fraskilt;2012K4;50270
København;I alt;Fraskilt;2013K1;50277
København;I alt;Fraskilt;2013K2;50567
København;I alt;Fraskilt;2013K3;50616
København;I alt;Fraskilt;2013K4;50511
København;I alt;Fraskilt;2014K1;51243
København;I alt;Fraskilt;2014K2;51660
København;I alt;Fraskilt;2014K3;51959
København;I alt;Fraskilt;2014K4;52260
København;I alt;Fraskilt;2015K1;52437
København;I alt;Fraskilt;2015K2;52538
København;I alt;Fraskilt;2015K3;52795
København;I alt;Fraskilt;2015K4;52919
København;I alt;Fraskilt;2016K1;53199
København;I alt;Fraskilt;2016K2;53446
København;I alt;Fraskilt;2016K3;53723
København;I alt;Fraskilt;2016K4;53807
København;I alt;Fraskilt;2017K1;53957
København;I alt;Fraskilt;2017K2;54272
København;I alt;Fraskilt;2017K3;54275
København;I alt;Fraskilt;2017K4;54336
København;I alt;Fraskilt;2018K1;54466
København;I alt;Fraskilt;2018K2;54682
København;I alt;Fraskilt;2018K3;54697
København;I alt;Fraskilt;2018K4;54623
København;I alt;Fraskilt;2019K1;54946
København;I alt;Fraskilt;2019K2;54882
København;I alt;Fraskilt;2019K3;54771
København;I alt;Fraskilt;2019K4;54682
København;I alt;Fraskilt;2020K1;54740
København;I alt;Fraskilt;2020K2;54993
København;I alt;Fraskilt;2020K3;55024
København;I alt;Fraskilt;2020K4;55063
København;I alt;Fraskilt;2021K1;55279
København;I alt;Fraskilt;2021K2;55394
København;I alt;Fraskilt;2021K3;55299
København;I alt;Fraskilt;2021K4;55305
København;I alt;Fraskilt;2022K1;55415
København;I alt;Enke/enkemand;2008K1;21555
København;I alt;Enke/enkemand;2008K2;21298
København;I alt;Enke/enkemand;2008K3;21066
København;I alt;Enke/enkemand;2008K4;20854
København;I alt;Enke/enkemand;2009K1;20600
København;I alt;Enke/enkemand;2009K2;20371
København;I alt;Enke/enkemand;2009K3;20134
København;I alt;Enke/enkemand;2009K4;19958
København;I alt;Enke/enkemand;2010K1;19761
København;I alt;Enke/enkemand;2010K2;19531
København;I alt;Enke/enkemand;2010K3;19307
København;I alt;Enke/enkemand;2010K4;19099
København;I alt;Enke/enkemand;2011K1;18963
København;I alt;Enke/enkemand;2011K2;18752
København;I alt;Enke/enkemand;2011K3;18584
København;I alt;Enke/enkemand;2011K4;18388
København;I alt;Enke/enkemand;2012K1;18201
København;I alt;Enke/enkemand;2012K2;18034
København;I alt;Enke/enkemand;2012K3;17899
København;I alt;Enke/enkemand;2012K4;17770
København;I alt;Enke/enkemand;2013K1;17524
København;I alt;Enke/enkemand;2013K2;17295
København;I alt;Enke/enkemand;2013K3;17154
København;I alt;Enke/enkemand;2013K4;17012
København;I alt;Enke/enkemand;2014K1;16918
København;I alt;Enke/enkemand;2014K2;16810
København;I alt;Enke/enkemand;2014K3;16725
København;I alt;Enke/enkemand;2014K4;16584
København;I alt;Enke/enkemand;2015K1;16492
København;I alt;Enke/enkemand;2015K2;16299
København;I alt;Enke/enkemand;2015K3;16182
København;I alt;Enke/enkemand;2015K4;16094
København;I alt;Enke/enkemand;2016K1;16037
København;I alt;Enke/enkemand;2016K2;15936
København;I alt;Enke/enkemand;2016K3;15787
København;I alt;Enke/enkemand;2016K4;15720
København;I alt;Enke/enkemand;2017K1;15607
København;I alt;Enke/enkemand;2017K2;15490
København;I alt;Enke/enkemand;2017K3;15417
København;I alt;Enke/enkemand;2017K4;15333
København;I alt;Enke/enkemand;2018K1;15238
København;I alt;Enke/enkemand;2018K2;15137
København;I alt;Enke/enkemand;2018K3;15012
København;I alt;Enke/enkemand;2018K4;14925
København;I alt;Enke/enkemand;2019K1;14868
København;I alt;Enke/enkemand;2019K2;14787
København;I alt;Enke/enkemand;2019K3;14713
København;I alt;Enke/enkemand;2019K4;14679
København;I alt;Enke/enkemand;2020K1;14630
København;I alt;Enke/enkemand;2020K2;14558
København;I alt;Enke/enkemand;2020K3;14502
København;I alt;Enke/enkemand;2020K4;14428
København;I alt;Enke/enkemand;2021K1;14426
København;I alt;Enke/enkemand;2021K2;14363
København;I alt;Enke/enkemand;2021K3;14351
København;I alt;Enke/enkemand;2021K4;14296
København;I alt;Enke/enkemand;2022K1;14324
København;I alt;Gift/separeret;2008K1;128556
København;I alt;Gift/separeret;2008K2;128289
København;I alt;Gift/separeret;2008K3;128728
København;I alt;Gift/separeret;2008K4;130727
København;I alt;Gift/separeret;2009K1;130995
København;I alt;Gift/separeret;2009K2;130736
København;I alt;Gift/separeret;2009K3;131489
København;I alt;Gift/separeret;2009K4;133014
København;I alt;Gift/separeret;2010K1;133196
København;I alt;Gift/separeret;2010K2;132864
København;I alt;Gift/separeret;2010K3;133650
København;I alt;Gift/separeret;2010K4;135341
København;I alt;Gift/separeret;2011K1;135422
København;I alt;Gift/separeret;2011K2;135002
København;I alt;Gift/separeret;2011K3;135713
København;I alt;Gift/separeret;2011K4;136965
København;I alt;Gift/separeret;2012K1;136827
København;I alt;Gift/separeret;2012K2;136238
København;I alt;Gift/separeret;2012K3;136858
København;I alt;Gift/separeret;2012K4;137880
København;I alt;Gift/separeret;2013K1;138132
København;I alt;Gift/separeret;2013K2;137542
København;I alt;Gift/separeret;2013K3;137917
København;I alt;Gift/separeret;2013K4;139664
København;I alt;Gift/separeret;2014K1;138830
København;I alt;Gift/separeret;2014K2;138186
København;I alt;Gift/separeret;2014K3;138329
København;I alt;Gift/separeret;2014K4;139729
København;I alt;Gift/separeret;2015K1;139613
København;I alt;Gift/separeret;2015K2;139465
København;I alt;Gift/separeret;2015K3;139893
København;I alt;Gift/separeret;2015K4;141141
København;I alt;Gift/separeret;2016K1;140881
København;I alt;Gift/separeret;2016K2;140688
København;I alt;Gift/separeret;2016K3;141427
København;I alt;Gift/separeret;2016K4;143024
København;I alt;Gift/separeret;2017K1;143176
København;I alt;Gift/separeret;2017K2;142783
København;I alt;Gift/separeret;2017K3;143640
København;I alt;Gift/separeret;2017K4;145607
København;I alt;Gift/separeret;2018K1;145479
København;I alt;Gift/separeret;2018K2;145301
København;I alt;Gift/separeret;2018K3;146287
København;I alt;Gift/separeret;2018K4;148172
København;I alt;Gift/separeret;2019K1;147974
København;I alt;Gift/separeret;2019K2;147848
København;I alt;Gift/separeret;2019K3;148834
København;I alt;Gift/separeret;2019K4;150492
København;I alt;Gift/separeret;2020K1;150458
København;I alt;Gift/separeret;2020K2;149826
København;I alt;Gift/separeret;2020K3;149291
København;I alt;Gift/separeret;2020K4;150663
København;I alt;Gift/separeret;2021K1;150279
København;I alt;Gift/separeret;2021K2;149179
København;I alt;Gift/separeret;2021K3;149174
København;I alt;Gift/separeret;2021K4;150219
København;I alt;Gift/separeret;2022K1;149940
København;I alt;Ugift;2008K1;309661
København;I alt;Ugift;2008K2;311978
København;I alt;Ugift;2008K3;311868
København;I alt;Ugift;2008K4;315545
København;I alt;Ugift;2009K1;317126
København;I alt;Ugift;2009K2;319778
København;I alt;Ugift;2009K3;319926
København;I alt;Ugift;2009K4;324313
København;I alt;Ugift;2010K1;325562
København;I alt;Ugift;2010K2;328670
København;I alt;Ugift;2010K3;328517
København;I alt;Ugift;2010K4;333929
København;I alt;Ugift;2011K1;335339
København;I alt;Ugift;2011K2;337717
København;I alt;Ugift;2011K3;337628
København;I alt;Ugift;2011K4;343028
København;I alt;Ugift;2012K1;343978
København;I alt;Ugift;2012K2;346995
København;I alt;Ugift;2012K3;346821
København;I alt;Ugift;2012K4;352000
København;I alt;Ugift;2013K1;353507
København;I alt;Ugift;2013K2;356849
København;I alt;Ugift;2013K3;356692
København;I alt;Ugift;2013K4;361813
København;I alt;Ugift;2014K1;362566
København;I alt;Ugift;2014K2;365720
København;I alt;Ugift;2014K3;365274
København;I alt;Ugift;2014K4;370940
København;I alt;Ugift;2015K1;371642
København;I alt;Ugift;2015K2;375047
København;I alt;Ugift;2015K3;374655
København;I alt;Ugift;2015K4;379545
København;I alt;Ugift;2016K1;381364
København;I alt;Ugift;2016K2;384161
København;I alt;Ugift;2016K3;383598
København;I alt;Ugift;2016K4;388897
København;I alt;Ugift;2017K1;389741
København;I alt;Ugift;2017K2;393512
København;I alt;Ugift;2017K3;392034
København;I alt;Ugift;2017K4;396546
København;I alt;Ugift;2018K1;398105
København;I alt;Ugift;2018K2;400873
København;I alt;Ugift;2018K3;400102
København;I alt;Ugift;2018K4;404978
København;I alt;Ugift;2019K1;405616
København;I alt;Ugift;2019K2;408833
København;I alt;Ugift;2019K3;408190
København;I alt;Ugift;2019K4;413168
København;I alt;Ugift;2020K1;412512
København;I alt;Ugift;2020K2;414072
København;I alt;Ugift;2020K3;414218
København;I alt;Ugift;2020K4;417782
København;I alt;Ugift;2021K1;418133
København;I alt;Ugift;2021K2;419742
København;I alt;Ugift;2021K3;419966
København;I alt;Ugift;2021K4;423793
København;I alt;Ugift;2022K1;424752
